Program;Degree;Code;Course Name;نوع المقرر
الشريعة;بكالوريوس;2001482-2;قاعة بحث;مشترك
الشريعة;بكالوريوس;2002211-1;القرآن الكريم (3);مشترك
الشريعة;بكالوريوس;2002242-2;تفسير آيات الحكام (2);فريد
الشريعة;بكالوريوس;2004112-2;الثقافة الاسلامية (الأخلاق والقيم);مشترك
الشريعة;بكالوريوس;103281-2;النحو (1);مشترك
الشريعة;بكالوريوس;105115-2;تاريخ المملكة;مشترك
الشريعة;بكالوريوس;2001216-4;الفقه (4);مشترك
الشريعة;بكالوريوس;2001217-4;أدلة الحكام الشرعية (2);فريد
الشريعة;بكالوريوس;2001225-2;الفقه المقارن;مشترك
الشريعة;بكالوريوس;2001332-2;أحاديث الحكام (2);فريد
الشريعة;بكالوريوس;2002221-1;القرآن الكريم (4);مشترك
الشريعة;بكالوريوس;2002250-2;أصول التفسير ومناهجه;مشترك
الشريعة;بكالوريوس;2002343-2;تفسير آيات الحكام (3);فريد
الشريعة;بكالوريوس;103282-2;النحو (2);مشترك
الشريعة;بكالوريوس;2001310-2;السياسة الشرعية;فريد
الشريعة;بكالوريوس;2001311-4;الفقه (5);مشترك
الشريعة;بكالوريوس;2001312-2;الإيمان والقدر;مشترك
الشريعة;بكالوريوس;2001319-3;دالالت اللفاظ (1);فريد
الشريعة;بكالوريوس;2001351-3;علم المواريث 1;فريد
الشريعة;بكالوريوس;2002311-1;القرآن الكريم (5);مشترك
الشريعة;بكالوريوس;103213-3;النحو (3);مشترك
الشريعة;بكالوريوس;200332-1;نظام المرافعات الشرعية;فريد
الشريعة;بكالوريوس;2001280-2;أصول الدعوة والحسبة;فريد
الشريعة;بكالوريوس;2001301-2;تدوين السنة;فريد
الشريعة;بكالوريوس;2001321-4;الفقه (6);مشترك
الشريعة;بكالوريوس;2001326-2;دلالات الألفاظ (2);فريد
الشريعة;بكالوريوس;2001352-2;علم المواريث (2);مشترك
الشريعة;بكالوريوس;2001476-2;الأديان والفرق;فريد
الشريعة;بكالوريوس;2002312-1;القرآن الكريم (6);مشترك
الشريعة;بكالوريوس;2003328-1;نظام الإجراءات الجزائية;فريد
الشريعة;بكالوريوس;103349-2;النحو (4);مشترك
الشريعة;بكالوريوس;2001411-4;الفقه (7);مشترك
الشريعة;بكالوريوس;2001413-2;تخريج الفروع على الأصول;فريد
الشريعة;بكالوريوس;2001414-4;القياس;مشترك
الشريعة;بكالوريوس;2001419-2;القواعد الفقهية (1);فريد
الشريعة;بكالوريوس;2001493-2;تخريج ودراسة الأسانيد;مشترك
الشريعة;بكالوريوس;2002411-1;القرآن الكريم (7);مشترك
الشريعة;بكالوريوس;2003230-2;مبادئ القانون التجاري;فريد
الشريعة;بكالوريوس;2003410-2;النظام القضائي في المملكة;فريد
الشريعة;بكالوريوس;2004414-2;ثقافة إسلامية (4);مشترك
الشريعة;بكالوريوس;103141-2;البلاغة;مشترك
الشريعة;بكالوريوس;1034101-2;البلاغة;مشترك
الشريعة;بكالوريوس;2001148-2;الخلاف والمناظرة;فريد
الشريعة;بكالوريوس;2001346-2;مقاصد الشريعة;مشترك
الشريعة;بكالوريوس;2001375-2;مذاهب فكرية معاصرة;مشترك
الشريعة;بكالوريوس;2001383-2;الاقتصاد الإسالمي;فريد
الشريعة;بكالوريوس;2001420-2;التدريبات العملية;فريد
الشريعة;بكالوريوس;2001421-4;الفقه (8);فريد
الشريعة;بكالوريوس;2001425-2;القواعد الفقهية (2);فريد
الشريعة;بكالوريوس;2001433-2;الاجتهاد والتعارض والترجيح;فريد
الشريعة;بكالوريوس;2001465-2;فقه النوازل;مشترك
الشريعة;بكالوريوس;2002421-1;القرآن الكريم (8);مشترك
الشريعة;بكالوريوس;990113-2;الثقافة الصحية;مشترك
الشريعة;بكالوريوس;990312-2;الابتكار وريادة الأعمال;مشترك
الشريعة;بكالوريوس;990411-2;مبادئ البرمجة;مشترك
الشريعة;بكالوريوس;990412-2;المواطنة الرقمية;مشترك
الشريعة;بكالوريوس;990413-2;السيرة النبوية;مشترك
الشريعة;بكالوريوس;990415-2;تلاوة وتجويد;مشترك
